,MOAs,definitions
CHEMBL3039525,"Hepatocyte growth factor receptor inhibitor, Vascular endothelial growth factor receptor 2 inhibitor",tyrosine kinase inhibitors
CHEMBL760,:(,"platelet aggregation inhibitors, primarily platelet P2Y12 receptor antagonists"
CHEMBL1489,"DNA (cytosine-5)-methyltransferase 3A inhibitor, DNA (cytosine-5)-methyltransferase 1 inhibitor, DNA inhibitor, RNA inhibitor",H2-receptor antagonists (cimetidine type)
CHEMBL2103842,"Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor",tyrosine kinase inhibitors
CHEMBL1094636,"Poly [ADP-ribose] polymerase 2 inhibitor, Poly [ADP-ribose] polymerase-1 inhibitor",poly-ADP-ribose polymerase inhibitors
CHEMBL1336,:(,rapidly accelerated fibrosarcoma (RAF) kinase inhibitors
CHEMBL1289926,Vascular endothelial growth factor receptor inhibitor,tyrosine kinase inhibitors
CHEMBL3545311,"ALK tyrosine kinase receptor inhibitor, Epidermal growth factor receptor erbB1 inhibitor",tyrosine kinase inhibitors
CHEMBL13960,:(,
CHEMBL383322,"Toll-like receptor 8 agonist, Toll-like receptor 7 agonist",immunomodulators
CHEMBL77517,:(,"antineoplastics, apoptosis inducing sulfonamide"
CHEMBL1091644,"Insulin-like growth factor I receptor inhibitor, Insulin receptor inhibitor",tyrosine kinase inhibitors
CHEMBL1206232,:(,antineoplastics (mitotic inhibitors; tubulin binders); phosphoro-derivatives
CHEMBL607707,Epidermal growth factor receptor erbB1 inhibitor,tyrosine kinase inhibitors
CHEMBL575448,"Insulin-like growth factor I receptor inhibitor, Insulin receptor inhibitor",
CHEMBL276711,"Stem cell growth factor receptor inhibitor, Vascular endothelial growth factor receptor inhibitor",angiogenesis inhibitors
CHEMBL483254,:(,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL428690,"Cyclin-dependent kinase 2 inhibitor, Cyclin-dependent kinase 4 inhibitor, Cyclin-dependent kinase 6 inhibitor, Cyclin-dependent kinase 9 inhibitor, Cyclin-dependent kinase 1 inhibitor, Cyclin-dependent kinase 7 inhibitor",
CHEMBL24828,"Tyrosine-protein kinase SRC inhibitor, Tyrosine-protein kinase BRK inhibitor, Tyrosine-protein kinase TIE-2 inhibitor, Vascular endothelial growth factor receptor inhibitor, Tyrosine-protein kinase receptor RET inhibitor, Ephrin receptor inhibitor, Epidermal growth factor receptor inhibitor",angiogenesis inhibitors
CHEMBL4296717,:(,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL2396661,PI3-kinase p110-alpha subunit inhibitor,phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL443684,"Apoptosis regulator Bcl-2 inhibitor, Apoptosis regulator Bcl-X inhibitor, Apoptosis regulator Bcl-W inhibitor",bcl-2 (B-cell lymphoma 2) inhibitors
CHEMBL38434,Dihydroorotate dehydrogenase inhibitor,
CHEMBL1614701,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors
CHEMBL3545308,Epidermal growth factor receptor erbB1 inhibitor,tyrosine kinase inhibitors
CHEMBL476,DNA inhibitor,
CHEMBL1214827,Heat shock protein HSP90 inhibitor,heat shock protein inhibitors; narcotic agonists/antagonists (normorphine type)
CHEMBL2105719,"Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor, Receptor protein-tyrosine kinase erbB-4 inhibitor",tyrosine kinase inhibitors
CHEMBL483321,Receptor protein-tyrosine kinase erbB-2 inhibitor,
CHEMBL1276127,:(,
CHEMBL1078178,"Tyrosine-protein kinase JAK1 inhibitor, Tyrosine-protein kinase JAK2 inhibitor",tyrosine kinase inhibitors
CHEMBL3545307,Hepatocyte growth factor receptor inhibitor,tyrosine kinase inhibitors
CHEMBL939,Epidermal growth factor receptor erbB1 inhibitor,tyrosine kinase inhibitors
CHEMBL727,"Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor, DNA inhibitor",
CHEMBL3544983,"Ephrin type-B receptor 4 inhibitor, Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor",tyrosine kinase inhibitors
CHEMBL3137336,Serine/threonine-protein kinase AKT inhibitor,serine/threonine kinase inhibitors
CHEMBL514201,MAP kinase p38 alpha inhibitor,immunomodulators: mitogen-activated protein (MAP) kinase inhibitors
CHEMBL2408045,"Receptor protein-tyrosine kinase erbB-2 inhibitor, Receptor tyrosine-protein kinase erbB-3 inhibitor, Epidermal growth factor receptor erbB1 inhibitor",tyrosine kinase inhibitors
CHEMBL1773,"Thymidylate synthase inhibitor, DNA inhibitor, RNA inhibitor","nucleoside antiviral or antineoplastic agents, cytarabine or azarabine derivatives"
CHEMBL46286,Protein synthesis inhibitor,
CHEMBL1789941,:(,deuterated compounds; tyrosine kinase inhibitors
CHEMBL3353410,Epidermal growth factor receptor erbB1 inhibitor,tyrosine kinase inhibitors: epidermal growth factor receptor (EGFR) inhibitors
CHEMBL1023,Retinoid X receptor agonist,arotinoid derivatives
CHEMBL2216870,PI3-kinase p110-delta subunit inhibitor,phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL279786,:(,enzyme inhibitors: matrix metalloprotease inhibitors
CHEMBL2402737,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,
CHEMBL488,"Cytochrome P450 19A1 inhibitor, Cytochrome P450 11A1 inhibitor",
CHEMBL1289601,:(,tyrosine kinase inhibitors
CHEMBL408513,Histone deacetylase inhibitor,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL189963,"CDK6/cyclin D1 inhibitor, Cyclin-dependent kinase 4/cyclin D1 inhibitor",cyclin dependent kinase inhibitors (formerly-cidib)
CHEMBL451887,26S proteosome inhibitor,proteozome inhibitors
CHEMBL2103875,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors
CHEMBL1231160,NEDD8 activating enzyme inhibitor,enzyme inhibitors
CHEMBL3137320,"Poly [ADP-ribose] polymerase-1 inhibitor, Poly [ADP-ribose] polymerase 2 inhibitor",poly-ADP-ribose polymerase inhibitors
CHEMBL1282,Toll-like receptor 7 agonist,immunomodulators
CHEMBL3545154,Epidermal growth factor receptor inhibitor,tyrosine kinase inhibitors
CHEMBL1575,:(,estrogens; antineoplastics (chloroethylamine derivatives)
CHEMBL1873475,Tyrosine-protein kinase BTK inhibitor,tyrosine kinase inhibitors: tyrosine kinase inhibitors Bruton's (Btk) inhibitors
CHEMBL1908360,FK506-binding protein 1A inhibitor,immunosuppressives
CHEMBL1738797,:(,tyrosine kinase inhibitors
CHEMBL1171837,:(,tyrosine kinase inhibitors
CHEMBL1201284,:(,calcium-sensing receptor (CaSR) agonists
CHEMBL2087361,Epidermal growth factor receptor erbB1 inhibitor,tyrosine kinase inhibitors
CHEMBL572878,Serine/threonine-protein kinase Aurora inhibitor,serine/threonine kinase inhibitors
CHEMBL3301610,"Cyclin-dependent kinase 4 inhibitor, Cyclin-dependent kinase 6 inhibitor",cyclin dependent kinase inhibitors (formerly-cidib)
CHEMBL1173655,:(,tyrosine kinase inhibitors
CHEMBL473417,Smoothened homolog inhibitor,hedgehog signaling inhibitors
CHEMBL553,:(,tyrosine kinase inhibitors
CHEMBL1233528,Serine/threonine-protein kinase PLK1 inhibitor,serine/threonine kinase inhibitors
CHEMBL445813,Cyclin-dependent kinase inhibitor,
CHEMBL1879463,"Serine/threonine-protein kinase mTOR inhibitor, PI3-kinase class I inhibitor",phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL1922094,"Serine/threonine-protein kinase mTOR inhibitor, PI3-kinase class I inhibitor",phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL1230609,"Tyrosine-protein kinase receptor FLT3 inhibitor, Stem cell growth factor receptor inhibitor, Hepatocyte growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Tyrosine-protein kinase TIE-2 inhibitor, Vascular endothelial growth factor receptor inhibitor",retinol derivatives; tyrosine kinase inhibitors
CHEMBL3545283,"Cyclin-dependent kinase 1 inhibitor, Cyclin-dependent kinase 4 inhibitor, Cyclin-dependent kinase 9 inhibitor",cyclin dependent kinase inhibitors (formerly-cidib)
CHEMBL2103882,Hepatocyte growth factor receptor inhibitor,tyrosine kinase inhibitors
CHEMBL2386889,Serine/threonine-protein kinase Chk1 inhibitor,
CHEMBL235191,Histone deacetylase inhibitor,narcotic agonists/antagonists (normorphine type)
CHEMBL3989868,Receptor protein-tyrosine kinase erbB-2 inhibitor,tyrosine kinase inhibitors
CHEMBL1241855,:(,serine/threonine kinase inhibitors
CHEMBL180022,"Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor, Receptor protein-tyrosine kinase erbB-4 inhibitor",tyrosine kinase inhibitors
CHEMBL601719,"Hepatocyte growth factor receptor inhibitor, ALK tyrosine kinase receptor inhibitor, EML4-ALK, NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor)",tyrosine kinase inhibitors
CHEMBL3349001,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,
CHEMBL460499,:(,
CHEMBL1976040,Serine/threonine-protein kinase WEE1 inhibitor,serine/threonine kinase inhibitors
CHEMBL3188267,Hepatocyte growth factor receptor inhibitor,tyrosine kinase inhibitors
CHEMBL1946170,"Tyrosine-protein kinase ABL inhibitor, Serine/threonine-protein kinase RAF inhibitor, Stem cell growth factor receptor inhibitor, Fibroblast growth factor receptor 1 inhibitor, MAP kinase p38 beta inhibitor, Fibroblast growth factor receptor 2 inhibitor, Tyrosine-protein kinase FRK inhibitor, Discoidin domain-containing receptor 2 inhibitor, Serine/threonine-protein kinase B-raf inhibitor, Tyrosine-protein kinase TIE-2 inhibitor, Platelet-derived growth factor receptor inhibitor, Vascular endothelial growth factor receptor inhibitor, Tyrosine-protein kinase receptor RET inhibitor, Ephrin type-A receptor 2, Nerve growth factor receptor Trk-A",rapidly accelerated fibrosarcoma (RAF) kinase inhibitors
CHEMBL2105737,:(,hedgehog signaling inhibitors
CHEMBL3039517,Serine/threonine-protein kinase Chk1 inhibitor,serine/threonine kinase inhibitors
CHEMBL217092,"Tyrosine-protein kinase ABL inhibitor, Tyrosine-protein kinase SRC inhibitor",tyrosine kinase inhibitors
CHEMBL408194,:(,bcl-2 (B-cell lymphoma 2) inhibitors
CHEMBL554,:(,tyrosine kinase inhibitors
CHEMBL2107832,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",serine/threonine kinase inhibitors
CHEMBL1201129,"DNA (cytosine-5)-methyltransferase 3A inhibitor, DNA (cytosine-5)-methyltransferase 1 inhibitor, DNA inhibitor","nucleoside antiviral or antineoplastic agents, cytarabine or azarabine derivatives"
CHEMBL477772,:(,angiogenesis inhibitors
CHEMBL521686,"PARP 1, 2 and 3 inhibitor",poly-ADP-ribose polymerase inhibitors
CHEMBL3545097,Serine/threonine-protein kinase mTOR inhibitor,serine/threonine kinase inhibitors
CHEMBL564829,"Cyclin-dependent kinase 1 inhibitor, Cyclin-dependent kinase 2 inhibitor, Cyclin-dependent kinase 4 inhibitor, Nerve growth factor receptor Trk-A inhibitor",cyclin dependent kinase inhibitors (formerly-cidib)
CHEMBL467399,Heat shock protein HSP90 inhibitor,
CHEMBL64130,Unknown,
CHEMBL1229517,Serine/threonine-protein kinase B-raf inhibitor,rapidly accelerated fibrosarcoma (RAF) kinase inhibitors
CHEMBL25202,"Retinoic acid receptor beta agonist, Retinoic acid receptor alpha agonist",arotinoid derivatives
CHEMBL178459,:(,
CHEMBL252164,Heat shock protein HSP90 inhibitor,heat shock protein inhibitors
CHEMBL383824,"Heat shock protein HSP90 inhibitor, Reactive oxygen species",antibiotics (Streptomyces strain)
CHEMBL572881,"Stem cell growth factor receptor inhibitor, Tyrosine-protein kinase receptor RET inhibitor, Vascular endothelial growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor",angiogenesis inhibitors
CHEMBL383675,Photosensitizer,benzoporphyrin derivatives
CHEMBL2103840,"Cyclin-dependent kinase 1 inhibitor, Cyclin-dependent kinase 2 inhibitor, Cyclin-dependent kinase 5 inhibitor, Cyclin-dependent kinase 9 inhibitor",cyclin dependent kinase inhibitors (formerly-cidib)
CHEMBL1421,"Tyrosine-protein kinase ABL inhibitor, Platelet-derived growth factor receptor beta inhibitor, Stem cell growth factor receptor inhibitor, Ephrin type-A receptor 2 inhibitor, SRC inhibitor, Bcr/Abl fusion protein",tyrosine kinase inhibitors
CHEMBL2105661,Kinesin-like protein 1 inhibitor,kinesin inhibitors
CHEMBL1201182,FK506-binding protein 1A inhibitor,immunosuppressives
CHEMBL2347655,Kinesin-like protein 1 inhibitor,kinesin inhibitors
CHEMBL109480,Heat shock protein HSP90 inhibitor,antibiotics (Streptomyces strain)
CHEMBL1201746,Dihydrofolate reductase inhibitor,antimetabolites (folic acid derivatives)
CHEMBL428647,Tubulin inhibitor,"antineoplastics, taxane derivatives"
CHEMBL2103879,Heat shock protein HSP90 inhibitor,heat shock protein inhibitors
CHEMBL92,:(,"antineoplastics, taxane derivatives"
CHEMBL566757,Nicotinamide phosphoribosyltransferase inhibitor,
CHEMBL64925,:(,
CHEMBL803,"DNA inhibitor, RNA inhibitor, DNA polymerase (alpha/delta/epsilon) inhibitor",antineoplastics (arabinofuranosyl derivatives)
CHEMBL1106,:(,antihistaminics (histamine-H1 receptor antagonists)
CHEMBL917,Thymidylate synthase inhibitor,antivirals; antineoplastics (uridine derivatives)
CHEMBL1096885,"DNA topoisomerase II alpha inhibitor, DNA inhibitor",antineoplastic antibiotics (daunorubicin type)
CHEMBL1265,Retinoic acid receptor agonist,
CHEMBL446,Bacterial dihydropteroate synthase inhibitor,antimicrobials (sulfonamides derivatives)
CHEMBL152632,:(,
CHEMBL97350,:(,quaternary ammonium derivatives
CHEMBL796,"Dopamine transporter inhibitor, Norepinephrine transporter inhibitor",
CHEMBL1358,Estrogen receptor antagonist,estrogens; estrogen antagonists
CHEMBL1908391,"Fibroblast growth factor receptor 3 inhibitor, Stem cell growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor",tyrosine kinase inhibitors
CHEMBL343448,Histone deacetylase inhibitor,depsipeptide derivatives
CHEMBL252518,Unknown,antimalarials (artemisin derivatives)
CHEMBL53929,:(,dopaminergics (butopamine type)
CHEMBL1651524,:(,
CHEMBL469912,:(,antibiotics (Streptomyces strain)
CHEMBL123292,80S Ribosome inhibitor,
CHEMBL250699,:(,
CHEMBL458337,:(,
CHEMBL1201229,:(,quaternary ammonium derivatives
CHEMBL53463,:(,antineoplastic antibiotics (daunorubicin type)
CHEMBL296419,Histamine H1 receptor antagonist,
CHEMBL1201752,Tubulin inhibitor,
CHEMBL1542,"Amidophosphoribosyltransferase inhibitor, DNA inhibitor",
CHEMBL964,Aldehyde dehydrogenase inhibitor,
CHEMBL1200617,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives)
CHEMBL506,:(,
CHEMBL527,Cyclooxygenase inhibitor,anti-inflammatory agents (isoxicam type)
CHEMBL21578,:(,
CHEMBL1257051,Bacterial 70S ribosome inhibitor,oxazolidinone antibacterials
CHEMBL1368380,:(,
CHEMBL247378,:(,
CHEMBL191334,:(,
CHEMBL217354,:(,
CHEMBL3414626,:(,enzyme inhibitors
CHEMBL275809,:(,
CHEMBL280065,:(,
CHEMBL528271,:(,antithelmintics (tibendazole type)
CHEMBL140220,:(,
CHEMBL14276,:(,
CHEMBL1087,:(,local anesthetics
CHEMBL1487,:(,enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)
CHEMBL269732,:(,immunosuppressives
CHEMBL145347,:(,anti-inflammatory agents (salicylic acid derivatives)
CHEMBL1292,DNA inhibitor,
CHEMBL2105611,:(,vitamin D analogs
CHEMBL1472,Thyrotropin-releasing hormone receptor agonist,prehormones or hormone-release stimulating peptides: thyrotropin releasing hormone analogues
CHEMBL385517,:(,dipeptidyl aminopeptidase-IV inhibitors
CHEMBL1908333,:(,
CHEMBL224325,Unknown,narcotic agonists/antagonists (normorphine type)
CHEMBL1201798,:(,polymers
CHEMBL452,GABA-A receptor; anion channel positive allosteric modulator,antianxiety agents (diazepam type)
CHEMBL1705373,:(,
CHEMBL1405,Estrogen receptor alpha agonist,estrogens
CHEMBL19019,Opioid receptors; mu/kappa/delta antagonist,narcotic agonists/antagonists (normorphine type)
CHEMBL2105717,:(,tyrosine kinase inhibitors
CHEMBL1274,Androgen Receptor antagonist,non-steroid antiandrogens
CHEMBL452231,DNA topoisomerase II inhibitor,
CHEMBL1088,:(,
CHEMBL546,:(,beta-blockers (propranolol type)
CHEMBL3183075,Histamine H2 receptor antagonist,H2-receptor antagonists (cimetidine type)
CHEMBL2104423,:(,
CHEMBL316040,:(,
CHEMBL810,DNA inhibitor,
CHEMBL409,Androgen Receptor antagonist,non-steroid antiandrogens
CHEMBL496,Bacterial enoyl-[acyl-carrier-protein] reductase inhibitor,
CHEMBL585,"Amiloride-sensitive sodium channel, ENaC blocker",
CHEMBL30,Histamine H2 receptor antagonist,H2-receptor antagonists (cimetidine type)
CHEMBL1337,4-hydroxyphenylpyruvate dioxygenase inhibitor,
CHEMBL12713,"Dopamine D2 receptor antagonist, Adrenergic receptor alpha-1 antagonist, Serotonin 2 receptors; 5-HT2a & 5-HT2c antagonist",
CHEMBL515,DNA inhibitor,
CHEMBL1174,Integrin alpha-IIb/beta-3 inhibitor,peptides: platelet aggregation inhibitor (GPIIb/IIIa receptor antagonist)
CHEMBL1090,Human herpesvirus 1 DNA polymerase inhibitor,antineoplastics (arabinofuranosyl derivatives)
CHEMBL1730601,Dihydropyrimidine dehydrogenase inhibitor,uracil type antineoplastics
CHEMBL1750,"Ribonucleoside-diphosphate reductase RR1 inhibitor, DNA inhibitor, DNA polymerase (alpha/delta/epsilon) inhibitor",antineoplastics (arabinofuranosyl derivatives)
CHEMBL8809,:(,sulpride derivatives and analogs
CHEMBL44657,DNA topoisomerase II inhibitor,
CHEMBL104,Cytochrome P450 51 inhibitor,
CHEMBL288441,"Tyrosine-protein kinase ABL inhibitor, Tyrosine-protein kinase SRC inhibitor, Tyrosine-protein kinase HCK inhibitor, Tyrosine-protein kinase Lyn inhibitor, Bcr/Abl fusion protein",tyrosine kinase inhibitors
CHEMBL13,:(,beta-blockers (propranolol type)
CHEMBL1201748,Tubulin inhibitor,"antineoplastics, taxane derivatives"
CHEMBL813,:(,angiotensin II receptor antagonists
CHEMBL467,Ribonucleoside-diphosphate reductase RR1 inhibitor,
CHEMBL1200391,Unknown,
CHEMBL852,DNA inhibitor,
CHEMBL224436,Bacterial 70S ribosome inhibitor,antibiotics (Streptomyces strain)
CHEMBL1425,:(,"aptamers, classical and mirror"
CHEMBL1201112,DNA inhibitor,antineoplastics (arabinofuranosyl derivatives)
CHEMBL1068,Sodium channel alpha subunit blocker,tricyclic compounds
CHEMBL1221,:(,systemic antifungals (miconazole type)
CHEMBL1414320,:(,anti-inflammatory analgesics (phenylbutazone type) Note: INN Stem is-buzone
CHEMBL297362,:(,"antiarrhythmic/antianginal/antihypertensive agents, phthalazine like structure"
CHEMBL1534,:(,
CHEMBL1231107,:(,
CHEMBL498847,DNA inhibitor,antiprotozoal substances (metronidazole type)
CHEMBL806,Androgen Receptor antagonist,non-steroid antiandrogens
CHEMBL1397,Cytochrome P450 51 inhibitor,systemic antifungals (miconazole type)
CHEMBL417675,:(,
CHEMBL553025,:(,vinca alkaloids
CHEMBL36,Dihydrofolate reductase inhibitor,
CHEMBL567597,Unknown,antimalarials (artemisin derivatives)
CHEMBL2355051,:(,
CHEMBL420762,Vasopressin V2 receptor antagonist,"aptamers, classical and mirror; vasopressin receptor antagonists"
CHEMBL191958,:(,
CHEMBL417572,:(,
CHEMBL463763,:(,
CHEMBL2325429,:(,
CHEMBL221722,RNA-directed RNA polymerase inhibitor,"antivirals: treatments of SARS-CoV-2 infection, inhibiting viral RNA replication"
CHEMBL3545413,Tyrosine-protein kinase ABL inhibitor,tyrosine kinase inhibitors
CHEMBL560895,:(,
CHEMBL2177390,Serine/threonine-protein kinase AKT inhibitor,serine/threonine kinase inhibitors
CHEMBL70586,:(,
CHEMBL539163,:(,nonsteroidal ligand for the progesterone receptor
CHEMBL3544914,Cystic fibrosis transmembrane conductance regulator positive modulator,cystic fibrosis transmembrane regulator (CFTR) protein modulators
CHEMBL4303309,:(,
CHEMBL313006,Cholesteryl ester transfer protein inhibitor,cholesterol ester transfer protein inhibitors
CHEMBL3186534,:(,angiogenesis inhibitors
CHEMBL1910936,Calcitonin gene-related peptide type 1 receptor antagonist,
CHEMBL2141712,Serine/threonine-protein kinase mTOR inhibitor,
CHEMBL149930,:(,
CHEMBL289228,Protein farnesyltransferase inhibitor,farnesyl transferase inhibitor
CHEMBL1614766,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",
CHEMBL402548,Serine/threonine-protein kinase Aurora inhibitor,serine/threonine kinase inhibitors
CHEMBL2041933,Serine/threonine-protein kinase Chk1 inhibitor,
CHEMBL50882,DNA disrupting agent,
CHEMBL295124,:(,
CHEMBL70663,Reverse transcriptase inhibitor,"antivirals: non-nucleoside reverse transcriptase inhibitors, not benzoxazinone derivatives"
CHEMBL608533,"Tyrosine-protein kinase receptor FLT3 inhibitor, Stem cell growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Protein kinase C (PKC) inhibitor, Vascular endothelial growth factor receptor 2 inhibitor",
CHEMBL2103847,Aminopeptidase inhibitor,"enzyme inhibitors: indoleamine 2, 3-dioxygenase 1 (IDO1) inhibitors"
CHEMBL3301620,:(,antivirals
CHEMBL521851,PI3-kinase class I inhibitor,phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL2035187,"Tyrosine-protein kinase JAK2 inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor",tyrosine kinase inhibitors
CHEMBL1084546,Focal adhesion kinase 1 inhibitor,
CHEMBL274654,"Fibroblast growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Vascular endothelial growth factor receptor 2 inhibitor",tyrosine kinase inhibitors
CHEMBL3545051,"ALK tyrosine kinase receptor inhibitor, Focal adhesion kinase 1 inhibitor",
CHEMBL577711,:(,
CHEMBL197194,Dihydroorotate dehydrogenase inhibitor,immunosuppressives
CHEMBL363648,MAP kinase p38 alpha inhibitor,
CHEMBL1090090,MAP kinase p38 alpha inhibitor,
CHEMBL56900,:(,serotonin 5-HT3 receptor antagonists
CHEMBL50588,:(,
CHEMBL433257,:(,
CHEMBL19611,:(,enzyme inhibitors: matrix metalloprotease inhibitors
CHEMBL51483,:(,
CHEMBL3125702,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,ubiquitin ligase inhibitors
CHEMBL2017179,Cholesteryl ester transfer protein inhibitor,cholesterol ester transfer protein inhibitors
CHEMBL223448,:(,
CHEMBL3414621,:(,enzyme inhibitors
CHEMBL37860,:(,
CHEMBL295467,:(,antidepressants (fluoxetine type)
CHEMBL20684,Tubulin beta inhibitor,
CHEMBL49642,Tubulin inhibitor,antineoplastics (mitotic inhibitors; tubulin binders)
CHEMBL4650501,C-C chemokine receptor type 2 antagonist,
CHEMBL2107819,Caspase-1 inhibitor,caspase inhibitors
CHEMBL83527,:(,
CHEMBL296468,"Cyclin-dependent kinase 2 inhibitor, Cyclin-dependent kinase 7 inhibitor, Cyclin-dependent kinase 9 inhibitor",
CHEMBL93233,:(,
CHEMBL3187503,Glucose-dependent insulinotropic receptor agonist,
CHEMBL258940,Epidermal growth factor receptor erbB1 inhibitor,
CHEMBL11672,:(,immunostimulants
CHEMBL1200810,Vitamin D receptor agonist,vitamin D analogs
CHEMBL1738,"Iron sequestering agent, DNA topoisomerase II inhibitor",alpha-adrenoceptor antagonists (benzodioxane derivatives)
CHEMBL376359,:(,dipeptidyl aminopeptidase-IV inhibitors
CHEMBL55,:(,pentamidine derivatives/analogues
CHEMBL1679,:(,
CHEMBL568,GABA-A receptor; anion channel positive allosteric modulator,antianxiety agents (diazepam type)
CHEMBL1306,Cytochrome P450 51 inhibitor,systemic antifungals (miconazole type)
CHEMBL2104298,:(,
CHEMBL1085,:(,
CHEMBL1016,Type-1 angiotensin II receptor antagonist,angiotensin II receptor antagonists
CHEMBL21,Bacterial dihydropteroate synthase inhibitor,antimicrobials (sulfonamides derivatives)
CHEMBL57053,:(,
CHEMBL1584,Unknown,
CHEMBL1532,Thiazide-sensitive sodium-chloride cotransporter inhibitor,
CHEMBL1089,:(,
CHEMBL861,Sodium channel alpha subunit blocker,antiepileptics (hydantoin derivatives)
CHEMBL1149,:(,
CHEMBL2107834,Soluble guanylate cyclase positive allosteric modulator,guanaline cyclase activators
