"","X","X0","moas"
"56","elesclomol","CHEMBL1972860"," heat-shock protein inducers"
"57","elesclomol","CHEMBL1972860","bimoclomal type"
"58","golvatinib","CHEMBL3039525","Hepatocyte growth factor receptor inhibitor"
"59","golvatinib","CHEMBL3039525","Vascular endothelial growth factor receptor 2 inhibitor"
"60","golvatinib","CHEMBL3039525","tyrosine kinase inhibitors"
"61","anagrelide","CHEMBL760"," platelet aggregation inhibitors"
"62","anagrelide","CHEMBL760","primarily platelet P2Y12 receptor antagonists"
"63","azacitidine","CHEMBL1489","DNA (cytosine-5)-methyltransferase 3A inhibitor"
"64","azacitidine","CHEMBL1489","DNA (cytosine-5)-methyltransferase 1 inhibitor"
"65","azacitidine","CHEMBL1489","DNA inhibitor"
"66","azacitidine","CHEMBL1489","RNA inhibitor"
"67","azacitidine","CHEMBL1489","H2-receptor antagonists (cimetidine type)"
"68","ARRY-334543","CHEMBL2103842","Epidermal growth factor receptor erbB1 inhibitor"
"69","ARRY-334543","CHEMBL2103842","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"70","ARRY-334543","CHEMBL2103842","tyrosine kinase inhibitors"
"71","niraparib","CHEMBL1094636","Poly [ADP-ribose] polymerase 2 inhibitor"
"72","niraparib","CHEMBL1094636","Poly [ADP-ribose] polymerase-1 inhibitor"
"73","niraparib","CHEMBL1094636","poly-ADP-ribose polymerase inhibitors"
"74","sorafenib","CHEMBL1336"," rapidly accelerated fibrosarcoma (RAF) kinase inhibitors"
"75","axitinib","CHEMBL1289926","Vascular endothelial growth factor receptor inhibitor"
"76","axitinib","CHEMBL1289926","tyrosine kinase inhibitors"
"77","brigatinib","CHEMBL3545311","ALK tyrosine kinase receptor inhibitor"
"78","brigatinib","CHEMBL3545311","Epidermal growth factor receptor erbB1 inhibitor"
"79","brigatinib","CHEMBL3545311","tyrosine kinase inhibitors"
"80","dichloroacetate","CHEMBL13960"," "
"81","resiquimod","CHEMBL383322","Toll-like receptor 8 agonist"
"82","resiquimod","CHEMBL383322","Toll-like receptor 7 agonist"
"83","resiquimod","CHEMBL383322","immunomodulators"
"84","indisulam","CHEMBL77517"," antineoplastics"
"85","indisulam","CHEMBL77517","apoptosis inducing sulfonamide"
"86","linsitinib","CHEMBL1091644","Insulin-like growth factor I receptor inhibitor"
"87","linsitinib","CHEMBL1091644","Insulin receptor inhibitor"
"88","linsitinib","CHEMBL1091644","tyrosine kinase inhibitors"
"89","fosbretabulin","CHEMBL1206232"," antineoplastics (mitotic inhibitors; tubulin binders); phosphoro-derivatives"
"90","pelitinib","CHEMBL607707","Epidermal growth factor receptor erbB1 inhibitor"
"91","pelitinib","CHEMBL607707","tyrosine kinase inhibitors"
"92","BMS-754807","CHEMBL575448","Insulin-like growth factor I receptor inhibitor"
"93","BMS-754807","CHEMBL575448","Insulin receptor inhibitor"
"94","semaxanib","CHEMBL276711","Stem cell growth factor receptor inhibitor"
"95","semaxanib","CHEMBL276711","Vascular endothelial growth factor receptor inhibitor"
"96","semaxanib","CHEMBL276711","angiogenesis inhibitors"
"97","panobinostat","CHEMBL483254"," enzyme inhibitors: histone deacetylase inhibitors"
"98","alvocidib","CHEMBL428690","Cyclin-dependent kinase 2 inhibitor"
"99","alvocidib","CHEMBL428690","Cyclin-dependent kinase 4 inhibitor"
"100","alvocidib","CHEMBL428690","Cyclin-dependent kinase 6 inhibitor"
"101","alvocidib","CHEMBL428690","Cyclin-dependent kinase 9 inhibitor"
"102","alvocidib","CHEMBL428690","Cyclin-dependent kinase 1 inhibitor"
"103","alvocidib","CHEMBL428690","Cyclin-dependent kinase 7 inhibitor"
"104","vandetanib","CHEMBL24828","Tyrosine-protein kinase SRC inhibitor"
"105","vandetanib","CHEMBL24828","Tyrosine-protein kinase BRK inhibitor"
"106","vandetanib","CHEMBL24828","Tyrosine-protein kinase TIE-2 inhibitor"
"107","vandetanib","CHEMBL24828","Vascular endothelial growth factor receptor inhibitor"
"108","vandetanib","CHEMBL24828","Tyrosine-protein kinase receptor RET inhibitor"
"109","vandetanib","CHEMBL24828","Ephrin receptor inhibitor"
"110","vandetanib","CHEMBL24828","Epidermal growth factor receptor inhibitor"
"111","vandetanib","CHEMBL24828","angiogenesis inhibitors"
"112","resminostat","CHEMBL4296717"," enzyme inhibitors: histone deacetylase inhibitors"
"113","alpelisib","CHEMBL2396661","PI3-kinase p110-alpha subunit inhibitor"
"114","alpelisib","CHEMBL2396661","phosphatidylinositol 3-kinase (PI3K) inhibitors"
"115","navitoclax","CHEMBL443684","Apoptosis regulator Bcl-2 inhibitor"
"116","navitoclax","CHEMBL443684","Apoptosis regulator Bcl-X inhibitor"
"117","navitoclax","CHEMBL443684","Apoptosis regulator Bcl-W inhibitor"
"118","navitoclax","CHEMBL443684","bcl-2 (B-cell lymphoma 2) inhibitors"
"119","brequinar","CHEMBL38434","Dihydroorotate dehydrogenase inhibitor"
"120","selumetinib","CHEMBL1614701","Dual specificity mitogen-activated protein kinase kinase 1 inhibitor"
"121","selumetinib","CHEMBL1614701","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor"
"122","selumetinib","CHEMBL1614701","tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors"
"123","rociletinib","CHEMBL3545308","Epidermal growth factor receptor erbB1 inhibitor"
"124","rociletinib","CHEMBL3545308","tyrosine kinase inhibitors"
"125","dacarbazine","CHEMBL476","DNA inhibitor"
"126","AT13387","CHEMBL1214827","Heat shock protein HSP90 inhibitor"
"127","AT13387","CHEMBL1214827","heat shock protein inhibitors; narcotic agonists/antagonists (normorphine type)"
"128","dacomitinib","CHEMBL2105719","Epidermal growth factor receptor erbB1 inhibitor"
"129","dacomitinib","CHEMBL2105719","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"130","dacomitinib","CHEMBL2105719","Receptor protein-tyrosine kinase erbB-4 inhibitor"
"131","dacomitinib","CHEMBL2105719","tyrosine kinase inhibitors"
"132","CP-724714","CHEMBL483321","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"133","indirubin","CHEMBL1276127"," "
"134","cyt387","CHEMBL1078178","Tyrosine-protein kinase JAK1 inhibitor"
"135","cyt387","CHEMBL1078178","Tyrosine-protein kinase JAK2 inhibitor"
"136","cyt387","CHEMBL1078178","tyrosine kinase inhibitors"
"137","LY2801653","CHEMBL3545307","Hepatocyte growth factor receptor inhibitor"
"138","LY2801653","CHEMBL3545307","tyrosine kinase inhibitors"
"139","gefitinib","CHEMBL939","Epidermal growth factor receptor erbB1 inhibitor"
"140","gefitinib","CHEMBL939","tyrosine kinase inhibitors"
"141","thioguanine","CHEMBL727","Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor"
"142","thioguanine","CHEMBL727","DNA inhibitor"
"143","XL-647","CHEMBL3544983","Ephrin type-B receptor 4 inhibitor"
"144","XL-647","CHEMBL3544983","Epidermal growth factor receptor erbB1 inhibitor"
"145","XL-647","CHEMBL3544983","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"146","XL-647","CHEMBL3544983","tyrosine kinase inhibitors"
"147","uprosertib","CHEMBL3137336","Serine/threonine-protein kinase AKT inhibitor"
"148","uprosertib","CHEMBL3137336","serine/threonine kinase inhibitors"
"149","talmapimod","CHEMBL514201","MAP kinase p38 alpha inhibitor"
"150","talmapimod","CHEMBL514201","immunomodulators: mitogen-activated protein (MAP) kinase inhibitors"
"151","AZD8931","CHEMBL2408045","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"152","AZD8931","CHEMBL2408045","Receptor tyrosine-protein kinase erbB-3 inhibitor"
"153","AZD8931","CHEMBL2408045","Epidermal growth factor receptor erbB1 inhibitor"
"154","AZD8931","CHEMBL2408045","tyrosine kinase inhibitors"
"155","capecitabine","CHEMBL1773","Thymidylate synthase inhibitor"
"156","capecitabine","CHEMBL1773","DNA inhibitor"
"157","capecitabine","CHEMBL1773","RNA inhibitor"
"158","capecitabine","CHEMBL1773","nucleoside antiviral or antineoplastic agents"
"159","capecitabine","CHEMBL1773","cytarabine or azarabine derivatives"
"160","homoharringtonine","CHEMBL46286","Protein synthesis inhibitor"
"161","ruxolitinib","CHEMBL1789941"," deuterated compounds; tyrosine kinase inhibitors"
"162","osimertinib","CHEMBL3353410","Epidermal growth factor receptor erbB1 inhibitor"
"163","osimertinib","CHEMBL3353410","tyrosine kinase inhibitors: epidermal growth factor receptor (EGFR) inhibitors"
"164","bexarotene","CHEMBL1023","Retinoid X receptor agonist"
"165","bexarotene","CHEMBL1023","arotinoid derivatives"
"166","idelalisib","CHEMBL2216870","PI3-kinase p110-delta subunit inhibitor"
"167","idelalisib","CHEMBL2216870","phosphatidylinositol 3-kinase (PI3K) inhibitors"
"168","batimastat","CHEMBL279786"," enzyme inhibitors: matrix metalloprotease inhibitors"
"169","idasanutlin","CHEMBL2402737","Tumour suppressor p53/oncoprotein Mdm2 inhibitor"
"170","aminoglutethimide","CHEMBL488","Cytochrome P450 19A1 inhibitor"
"171","aminoglutethimide","CHEMBL488","Cytochrome P450 11A1 inhibitor"
"172","lenvatinib","CHEMBL1289601"," tyrosine kinase inhibitors"
"173","belinostat","CHEMBL408513","Histone deacetylase inhibitor"
"174","belinostat","CHEMBL408513","enzyme inhibitors: histone deacetylase inhibitors"
"175","palbociclib","CHEMBL189963","CDK6/cyclin D1 inhibitor"
"176","palbociclib","CHEMBL189963","Cyclin-dependent kinase 4/cyclin D1 inhibitor"
"177","palbociclib","CHEMBL189963","cyclin dependent kinase inhibitors (formerly-cidib)"
"178","carfilzomib","CHEMBL451887","26S proteosome inhibitor"
"179","carfilzomib","CHEMBL451887","proteozome inhibitors"
"180","trametinib","CHEMBL2103875","Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor"
"181","trametinib","CHEMBL2103875","tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors"
"182","pevonedistat","CHEMBL1231160","NEDD8 activating enzyme inhibitor"
"183","pevonedistat","CHEMBL1231160","enzyme inhibitors"
"184","talazoparib","CHEMBL3137320","Poly [ADP-ribose] polymerase-1 inhibitor"
"185","talazoparib","CHEMBL3137320","Poly [ADP-ribose] polymerase 2 inhibitor"
"186","talazoparib","CHEMBL3137320","poly-ADP-ribose polymerase inhibitors"
"187","imiquimod","CHEMBL1282","Toll-like receptor 7 agonist"
"188","imiquimod","CHEMBL1282","immunomodulators"
"189","poziotinib","CHEMBL3545154","Epidermal growth factor receptor inhibitor"
"190","poziotinib","CHEMBL3545154","tyrosine kinase inhibitors"
"191","estramustine","CHEMBL1575"," estrogens; antineoplastics (chloroethylamine derivatives)"
"192","ibrutinib","CHEMBL1873475","Tyrosine-protein kinase BTK inhibitor"
"193","ibrutinib","CHEMBL1873475","tyrosine kinase inhibitors: tyrosine kinase inhibitors Bruton's (Btk) inhibitors"
"194","everolimus","CHEMBL1908360","FK506-binding protein 1A inhibitor"
"195","everolimus","CHEMBL1908360","immunosuppressives"
"196","alectinib","CHEMBL1738797"," tyrosine kinase inhibitors"
"197","ponatinib","CHEMBL1171837"," tyrosine kinase inhibitors"
"198","cinacalcet","CHEMBL1201284"," calcium-sensing receptor (CaSR) agonists"
"199","icotinib","CHEMBL2087361","Epidermal growth factor receptor erbB1 inhibitor"
"200","icotinib","CHEMBL2087361","tyrosine kinase inhibitors"
"201","tozasertib","CHEMBL572878","Serine/threonine-protein kinase Aurora inhibitor"
"202","tozasertib","CHEMBL572878","serine/threonine kinase inhibitors"
"203","abemaciclib","CHEMBL3301610","Cyclin-dependent kinase 4 inhibitor"
"204","abemaciclib","CHEMBL3301610","Cyclin-dependent kinase 6 inhibitor"
"205","abemaciclib","CHEMBL3301610","cyclin dependent kinase inhibitors (formerly-cidib)"
"206","afatinib","CHEMBL1173655"," tyrosine kinase inhibitors"
"207","vismodegib","CHEMBL473417","Smoothened homolog inhibitor"
"208","vismodegib","CHEMBL473417","hedgehog signaling inhibitors"
"209","erlotinib","CHEMBL553"," tyrosine kinase inhibitors"
"210","volasertib","CHEMBL1233528","Serine/threonine-protein kinase PLK1 inhibitor"
"211","volasertib","CHEMBL1233528","serine/threonine kinase inhibitors"
"212","AT-7519","CHEMBL445813","Cyclin-dependent kinase inhibitor"
"213","NVP-BEZ235","CHEMBL1879463","Serine/threonine-protein kinase mTOR inhibitor"
"214","NVP-BEZ235","CHEMBL1879463","PI3-kinase class I inhibitor"
"215","NVP-BEZ235","CHEMBL1879463","phosphatidylinositol 3-kinase (PI3K) inhibitors"
"216","GDC-0980","CHEMBL1922094","Serine/threonine-protein kinase mTOR inhibitor"
"217","GDC-0980","CHEMBL1922094","PI3-kinase class I inhibitor"
"218","GDC-0980","CHEMBL1922094","phosphatidylinositol 3-kinase (PI3K) inhibitors"
"219","foretinib","CHEMBL1230609","Tyrosine-protein kinase receptor FLT3 inhibitor"
"220","foretinib","CHEMBL1230609","Stem cell growth factor receptor inhibitor"
"221","foretinib","CHEMBL1230609","Hepatocyte growth factor receptor inhibitor"
"222","foretinib","CHEMBL1230609","Platelet-derived growth factor receptor inhibitor"
"223","foretinib","CHEMBL1230609","Tyrosine-protein kinase TIE-2 inhibitor"
"224","foretinib","CHEMBL1230609","Vascular endothelial growth factor receptor inhibitor"
"225","foretinib","CHEMBL1230609","retinol derivatives; tyrosine kinase inhibitors"
"226","P276-00","CHEMBL3545283","Cyclin-dependent kinase 1 inhibitor"
"227","P276-00","CHEMBL3545283","Cyclin-dependent kinase 4 inhibitor"
"228","P276-00","CHEMBL3545283","Cyclin-dependent kinase 9 inhibitor"
"229","P276-00","CHEMBL3545283","cyclin dependent kinase inhibitors (formerly-cidib)"
"230","tivantinib","CHEMBL2103882","Hepatocyte growth factor receptor inhibitor"
"231","tivantinib","CHEMBL2103882","tyrosine kinase inhibitors"
"232","SCH-900776","CHEMBL2386889","Serine/threonine-protein kinase Chk1 inhibitor"
"233","tacedinaline","CHEMBL235191","Histone deacetylase inhibitor"
"234","tacedinaline","CHEMBL235191","narcotic agonists/antagonists (normorphine type)"
"235","tucatinib","CHEMBL3989868","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"236","tucatinib","CHEMBL3989868","tyrosine kinase inhibitors"
"237","rigosertib","CHEMBL1241855"," serine/threonine kinase inhibitors"
"238","neratinib","CHEMBL180022","Epidermal growth factor receptor erbB1 inhibitor"
"239","neratinib","CHEMBL180022","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"240","neratinib","CHEMBL180022","Receptor protein-tyrosine kinase erbB-4 inhibitor"
"241","neratinib","CHEMBL180022","tyrosine kinase inhibitors"
"242","crizotinib","CHEMBL601719","Hepatocyte growth factor receptor inhibitor"
"243","crizotinib","CHEMBL601719","ALK tyrosine kinase receptor inhibitor"
"244","crizotinib","CHEMBL601719","EML4-ALK"
"245","crizotinib","CHEMBL601719","NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor)"
"246","crizotinib","CHEMBL601719","tyrosine kinase inhibitors"
"247","AVN-944","CHEMBL3349001","Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor"
"248","carmofur","CHEMBL460499"," "
"249","MK-1775","CHEMBL1976040","Serine/threonine-protein kinase WEE1 inhibitor"
"250","MK-1775","CHEMBL1976040","serine/threonine kinase inhibitors"
"251","INC-280","CHEMBL3188267","Hepatocyte growth factor receptor inhibitor"
"252","INC-280","CHEMBL3188267","tyrosine kinase inhibitors"
"253","regorafenib","CHEMBL1946170","Tyrosine-protein kinase ABL inhibitor"
"254","regorafenib","CHEMBL1946170","Serine/threonine-protein kinase RAF inhibitor"
"255","regorafenib","CHEMBL1946170","Stem cell growth factor receptor inhibitor"
"256","regorafenib","CHEMBL1946170","Fibroblast growth factor receptor 1 inhibitor"
"257","regorafenib","CHEMBL1946170","MAP kinase p38 beta inhibitor"
"258","regorafenib","CHEMBL1946170","Fibroblast growth factor receptor 2 inhibitor"
"259","regorafenib","CHEMBL1946170","Tyrosine-protein kinase FRK inhibitor"
"260","regorafenib","CHEMBL1946170","Discoidin domain-containing receptor 2 inhibitor"
"261","regorafenib","CHEMBL1946170","Serine/threonine-protein kinase B-raf inhibitor"
"262","regorafenib","CHEMBL1946170","Tyrosine-protein kinase TIE-2 inhibitor"
"263","regorafenib","CHEMBL1946170","Platelet-derived growth factor receptor inhibitor"
"264","regorafenib","CHEMBL1946170","Vascular endothelial growth factor receptor inhibitor"
"265","regorafenib","CHEMBL1946170","Tyrosine-protein kinase receptor RET inhibitor"
"266","regorafenib","CHEMBL1946170","Ephrin type-A receptor 2"
"267","regorafenib","CHEMBL1946170","Nerve growth factor receptor Trk-A"
"268","regorafenib","CHEMBL1946170","rapidly accelerated fibrosarcoma (RAF) kinase inhibitors"
"269","sonidegib","CHEMBL2105737"," hedgehog signaling inhibitors"
"270","LY2603618","CHEMBL3039517","Serine/threonine-protein kinase Chk1 inhibitor"
"271","LY2603618","CHEMBL3039517","serine/threonine kinase inhibitors"
"272","saracatinib","CHEMBL217092","Tyrosine-protein kinase ABL inhibitor"
"273","saracatinib","CHEMBL217092","Tyrosine-protein kinase SRC inhibitor"
"274","saracatinib","CHEMBL217092","tyrosine kinase inhibitors"
"275","obatoclax","CHEMBL408194"," bcl-2 (B-cell lymphoma 2) inhibitors"
"276","lapatinib","CHEMBL554"," tyrosine kinase inhibitors"
"277","AS-703026","CHEMBL2107832","Dual specificity mitogen-activated protein kinase kinase 1 inhibitor"
"278","AS-703026","CHEMBL2107832","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor"
"279","AS-703026","CHEMBL2107832","serine/threonine kinase inhibitors"
"280","decitabine","CHEMBL1201129","DNA (cytosine-5)-methyltransferase 3A inhibitor"
"281","decitabine","CHEMBL1201129","DNA (cytosine-5)-methyltransferase 1 inhibitor"
"282","decitabine","CHEMBL1201129","DNA inhibitor"
"283","decitabine","CHEMBL1201129","nucleoside antiviral or antineoplastic agents"
"284","decitabine","CHEMBL1201129","cytarabine or azarabine derivatives"
"285","pazopanib","CHEMBL477772"," angiogenesis inhibitors"
"286","olaparib","CHEMBL521686","PARP 1"
"287","olaparib","CHEMBL521686","2 and 3 inhibitor"
"288","olaparib","CHEMBL521686","poly-ADP-ribose polymerase inhibitors"
"289","MLN0128","CHEMBL3545097","Serine/threonine-protein kinase mTOR inhibitor"
"290","MLN0128","CHEMBL3545097","serine/threonine kinase inhibitors"
"291","PHA-848125","CHEMBL564829","Cyclin-dependent kinase 1 inhibitor"
"292","PHA-848125","CHEMBL564829","Cyclin-dependent kinase 2 inhibitor"
"293","PHA-848125","CHEMBL564829","Cyclin-dependent kinase 4 inhibitor"
"294","PHA-848125","CHEMBL564829","Nerve growth factor receptor Trk-A inhibitor"
"295","PHA-848125","CHEMBL564829","cyclin dependent kinase inhibitors (formerly-cidib)"
"296","BIIB021","CHEMBL467399","Heat shock protein HSP90 inhibitor"
"297","napabucasin","CHEMBL64130","Unknown"
"298","vemurafenib","CHEMBL1229517","Serine/threonine-protein kinase B-raf inhibitor"
"299","vemurafenib","CHEMBL1229517","rapidly accelerated fibrosarcoma (RAF) kinase inhibitors"
"300","tamibarotene","CHEMBL25202","Retinoic acid receptor beta agonist"
"301","tamibarotene","CHEMBL25202","Retinoic acid receptor alpha agonist"
"302","tamibarotene","CHEMBL25202","arotinoid derivatives"
"303","oltipraz","CHEMBL178459"," "
"304","NVP-AUY922","CHEMBL252164","Heat shock protein HSP90 inhibitor"
"305","NVP-AUY922","CHEMBL252164","heat shock protein inhibitors"
"306","alvespimycin","CHEMBL383824","Heat shock protein HSP90 inhibitor"
"307","alvespimycin","CHEMBL383824","Reactive oxygen species"
"308","alvespimycin","CHEMBL383824","antibiotics (Streptomyces strain)"
"309","motesanib","CHEMBL572881","Stem cell growth factor receptor inhibitor"
"310","motesanib","CHEMBL572881","Tyrosine-protein kinase receptor RET inhibitor"
"311","motesanib","CHEMBL572881","Vascular endothelial growth factor receptor inhibitor"
"312","motesanib","CHEMBL572881","Platelet-derived growth factor receptor inhibitor"
"313","motesanib","CHEMBL572881","angiogenesis inhibitors"
"314","temoporfin","CHEMBL383675","Photosensitizer"
"315","temoporfin","CHEMBL383675","benzoporphyrin derivatives"
"316","dinaciclib","CHEMBL2103840","Cyclin-dependent kinase 1 inhibitor"
"317","dinaciclib","CHEMBL2103840","Cyclin-dependent kinase 2 inhibitor"
"318","dinaciclib","CHEMBL2103840","Cyclin-dependent kinase 5 inhibitor"
"319","dinaciclib","CHEMBL2103840","Cyclin-dependent kinase 9 inhibitor"
"320","dinaciclib","CHEMBL2103840","cyclin dependent kinase inhibitors (formerly-cidib)"
"321","dasatinib","CHEMBL1421","Tyrosine-protein kinase ABL inhibitor"
"322","dasatinib","CHEMBL1421","Platelet-derived growth factor receptor beta inhibitor"
"323","dasatinib","CHEMBL1421","Stem cell growth factor receptor inhibitor"
"324","dasatinib","CHEMBL1421","Ephrin type-A receptor 2 inhibitor"
"325","dasatinib","CHEMBL1421","SRC inhibitor"
"326","dasatinib","CHEMBL1421","Bcr/Abl fusion protein"
"327","dasatinib","CHEMBL1421","tyrosine kinase inhibitors"
"328","litronesib","CHEMBL2105661","Kinesin-like protein 1 inhibitor"
"329","litronesib","CHEMBL2105661","kinesin inhibitors"
"330","temsirolimus","CHEMBL1201182","FK506-binding protein 1A inhibitor"
"331","temsirolimus","CHEMBL1201182","immunosuppressives"
"332","filanesib","CHEMBL2347655","Kinesin-like protein 1 inhibitor"
"333","filanesib","CHEMBL2347655","kinesin inhibitors"
"334","tanespimycin","CHEMBL109480","Heat shock protein HSP90 inhibitor"
"335","tanespimycin","CHEMBL109480","antibiotics (Streptomyces strain)"
"336","pralatrexate","CHEMBL1201746","Dihydrofolate reductase inhibitor"
"337","pralatrexate","CHEMBL1201746","antimetabolites (folic acid derivatives)"
"338","paclitaxel","CHEMBL428647","Tubulin inhibitor"
"339","paclitaxel","CHEMBL428647","antineoplastics"
"340","paclitaxel","CHEMBL428647","taxane derivatives"
"341","ganetespib","CHEMBL2103879","Heat shock protein HSP90 inhibitor"
"342","ganetespib","CHEMBL2103879","heat shock protein inhibitors"
"343","docetaxel","CHEMBL92"," antineoplastics"
"344","docetaxel","CHEMBL92","taxane derivatives"
"345","FK-866","CHEMBL566757","Nicotinamide phosphoribosyltransferase inhibitor"
"346","MG-132","CHEMBL64925"," "
"347","cytarabine","CHEMBL803","DNA inhibitor"
"348","cytarabine","CHEMBL803","RNA inhibitor"
"349","cytarabine","CHEMBL803","DNA polymerase (alpha/delta/epsilon) inhibitor"
"350","cytarabine","CHEMBL803","antineoplastics (arabinofuranosyl derivatives)"
"351","epinastine","CHEMBL1106"," antihistaminics (histamine-H1 receptor antagonists)"
"352","floxuridine","CHEMBL917","Thymidylate synthase inhibitor"
"353","floxuridine","CHEMBL917","antivirals; antineoplastics (uridine derivatives)"
"354","valrubicin","CHEMBL1096885","DNA topoisomerase II alpha inhibitor"
"355","valrubicin","CHEMBL1096885","DNA inhibitor"
"356","valrubicin","CHEMBL1096885","antineoplastic antibiotics (daunorubicin type)"
"357","adapalene","CHEMBL1265","Retinoic acid receptor agonist"
"358","sulfamethazine","CHEMBL446","Bacterial dihydropteroate synthase inhibitor"
"359","sulfamethazine","CHEMBL446","antimicrobials (sulfonamides derivatives)"
"360","niridazole","CHEMBL152632"," "
"361","amprolium","CHEMBL97350"," quaternary ammonium derivatives"
"362","methylphenidate","CHEMBL796","Dopamine transporter inhibitor"
