"","name","moas_curated","target"
"220","PF-03814735","Aurora kinase inhibitor","AURKA, AURKB"
"221","PHA-680632","Aurora kinase inhibitor","AURKA, AURKB, AURKC"
"222","SNS-314","Aurora kinase inhibitor","AURKA, AURKB, AURKC"
"223","TAK-901","Aurora kinase inhibitor","AURKB"
"224","ZM-447439","Aurora kinase inhibitor","AURKA, AURKB"
"225","alisertib","Aurora kinase inhibitor","AURKA"
"226","aurora-a-inhibitor-i","Aurora kinase inhibitor","AURKA"
"227","barasertib","Aurora kinase inhibitor","AURKA, AURKB"
"228","barasertib-HQPA","Aurora kinase inhibitor","AURKB"
"229","danusertib","Aurora kinase inhibitor","AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, SLK"
"230","hesperadin","Aurora kinase inhibitor","AURKB"
"231","tozasertib","Aurora kinase inhibitor","AURKA, AURKB, AURKC, LCK"
"232","BAM7","BAX activator","BAX"
"233","ABT-737","BCL inhibitor","BCL2, BCL2L1, BCL2L2"
"234","HA14-1","BCL inhibitor","BCL2"
"235","TW-37","BCL inhibitor","BCL2, BCL2L1, MCL1"
"236","gossypol","BCL inhibitor","BCL2"
"237","navitoclax","BCL inhibitor","BCL2, BCL2L1, BCL2L2"
"238","obatoclax","BCL inhibitor","BCL2"
"239","oridonin","BCL inhibitor","BCL2"
"240","venetoclax","BCL inhibitor","BCL2"
"241","PTC-209","BMI-1 inhibitor",NA
"242","vandetanib","BRK inhibitor","EGFR, EPHA1, EPHA10, EPHA2, EPHA3, EPHA4, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6, ERBB2, ERBB3, ERBB4, FLT1, FLT4, KDR, PTK6, RET, SRC, TEK, VEGFA"
"243","AVL-292","BTK inhibitor","BTK, YES1"
"244","CNX-774","BTK inhibitor","BTK"
"245","ibrutinib","BTK inhibitor","BLK, BMX, BTK"
"246","nimorazole","Bacterial DNA inhibitor",NA
"247","nithiamide","Bacterial DNA inhibitor",NA
"248","sulfabenzamide","Bacterial antifolate",NA
"249","aztreonam","Bacterial cell wall synthesis inhibitor",NA
"250","cefdinir","Bacterial cell wall synthesis inhibitor","MPO"
"251","cefditoren-pivoxil","Bacterial cell wall synthesis inhibitor",NA
"252","cefpiramide","Bacterial cell wall synthesis inhibitor",NA
"253","nafcillin","Bacterial cell wall synthesis inhibitor","CYP1A2, CYP3A4, SLC22A6"
"254","sulfamethazine","Bacterial dihydropteroate synthase inhibitor",NA
"255","sulfanilamide","Bacterial dihydropteroate synthase inhibitor","CYP2C19, CYP2C9, CYP2D6, CYP2E1, CYP3A4"
"256","hexachlorophene","Bacterial enoyl-[acyl-carrier-protein] reductase inhibitor","GLUD1, SDHD"
"257","amoxicillin","Bacterial penicillin-binding protein inhibitor","CYP2C19, SLC15A1, SLC15A2, SLC22A6"
"258","aztreonam","Bacterial penicillin-binding protein inhibitor",NA
"259","cefdinir","Bacterial penicillin-binding protein inhibitor","MPO"
"260","cefditoren-pivoxil","Bacterial penicillin-binding protein inhibitor",NA
"261","colistin-b-sulfate","Bacterial permeability inducer",NA
"262","lasalocid","Bacterial permeability inducer",NA
"263","monensin","Bacterial permeability inducer",NA
"264","finafloxacin","Bacterial topoisomerase inhibitor",NA
"265","lomefloxacin","Bacterial topoisomerase inhibitor","TOP2A"
"266","nadifloxacin","Bacterial topoisomerase inhibitor",NA
"267","norfloxacin","Bacterial topoisomerase inhibitor","TOP2A"
"268","novobiocin","Bacterial topoisomerase inhibitor",NA
"269","sarafloxacin","Bacterial topoisomerase inhibitor",NA
"270","sparfloxacin","Bacterial topoisomerase inhibitor","TOP2A"
"271","trovafloxacin","Bacterial topoisomerase inhibitor","TOP2A"
"272","GZD824","Bcr/Abl inhibitor","ABL1, BCR"
"273","bafetinib","Bcr/Abl inhibitor","ABL1, BCR, LYN"
"274","bosutinib","Bcr/Abl inhibitor","ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK"
"275","dasatinib","Bcr/Abl inhibitor","ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1"
"276","flumatinib","Bcr/Abl inhibitor","ABL1, PDGFRB"
"277","imatinib","Bcr/Abl inhibitor","ABL1, CSF1R, DDR1, KIT, NTRK1, PDGFRA, PDGFRB, RET"
"278","metatinib","Bcr/Abl inhibitor","ABL1, BCR"
"279","nilotinib","Bcr/Abl inhibitor","ABL1, KIT"
"280","ponatinib","Bcr/Abl inhibitor","ABL1, BCR, FGFR1, FGFR2, FGFR3, FGFR4, FLT3, KDR, KIT, LCK, LYN, PDGFRA, RET, SRC, TEK"
"281","tozasertib","Bcr/Abl inhibitor","AURKA, AURKB, AURKC, LCK"
"282","CGS-20625","Benzodiazepine receptor agonist","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6"
"283","CL-218872","Benzodiazepine receptor agonist","GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2"
"284","ZK-93423","Benzodiazepine receptor agonist","GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2"
"285","bentazepam","Benzodiazepine receptor agonist",NA
"286","eprinomectin","Benzodiazepine receptor agonist",NA
"287","gamma-aminobutyric-acid","Benzodiazepine receptor agonist","GABBR1, GABBR2, GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2, GATM, KCTD12, KCTD16, KCTD8, SLC6A1"
"288","indiplon","Benzodiazepine receptor agonist","GABRA1"
"289","ivermectin","Benzodiazepine receptor agonist","CHRNA7, GABRB3, GLRA3, P2RX7"
"290","lorazepam","Benzodiazepine receptor agonist","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO"
"291","nefiracetam","Benzodiazepine receptor agonist","CHRM1"
"292","piperazine","Benzodiazepine receptor agonist","GABRB3"
"293","temazepam","Benzodiazepine receptor agonist","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, TSPO"
"294","zaleplon","Benzodiazepine receptor agonist","GABRA1, GABRB1, GABRG2, TSPO"
"295","ZK-93426","Benzodiazepine receptor antagonist","GABRA1, GABRA2, GABRA3, GABRA5"
"296","XBD173","Benzodiazepine receptor ligand","TSPO"
"297","salidroside","Beta amyloid protein neurotoxicity inhibitor","APP"
"298","baicalin","Beta glucuronidase inhibitor","PREP"
"299","7-aminocephalosporanic-acid","Beta lactamase inhibitor",NA
"300","practolol","Beta-1 adrenergic receptor inhibitor","ADRB1"
"301","TC1","Beta-secretase inhibitor","BACE1"
"302","LDN-212854","Bone morphogenic protein inhibitor","ABL1, ACVR1, RIPK2"
"303","tiludronate","Bone resorption inhibitor","ATP6V1A, MMP2, PTPN1"
"304","cyclovalone","Breast cancer resistance protein inhibitor","ABCG2"
"305","I-BET-762","Bromodomain inhibitor","BRD2, BRD3, BRD4"
"306","I-BET151","Bromodomain inhibitor","BRD2, BRD3, BRD4"
"307","JQ1-(+)","Bromodomain inhibitor","BRD4, BRDT"
"308","OTX015","Bromodomain inhibitor","BRD2, BRD3, BRD4"
"309","PFI-1","Bromodomain inhibitor","BRD4"
"310","bromosporine","Bromodomain inhibitor",NA
"311","bucladesine","CAMP stimulant","PRKACA"
"312","MK-0812","CC-C chemokine receptor modulator","CCR2"
"313","PF-04136309","CC-C chemokine receptor modulator",NA
"314","RS-504393","CC-C chemokine receptor modulator","CCL2, CCR2"
"315","SB-225002","CC-C chemokine receptor modulator","CXCR2"
"316","UNBS-5162","CC-C chemokine receptor modulator",NA
"317","ZK811752","CC-C chemokine receptor modulator","CCR1"
"318","navarixin","CC-C chemokine receptor modulator","CXCR1, CXCR2"
"319","pentagastrin","CCK receptor agonist","CCKBR"
"320","SR-27897","CCK receptor antagonist","CCKAR"
"321","NSC-663284","CDC inhibitor","CDC25A, CDC25B, CDC25C"
"322","PHA-767491","CDC inhibitor","CDK1, RPS6KB1"
"323","7-hydroxystaurosporine","CDK inhibitor","CHEK1, MARK3, PDPK1"
"324","AT-7519","CDK inhibitor","CDK1, CDK2, CDK4, CDK5, CDK6, CDK9"
"325","AZD5438","CDK inhibitor","KCNH2"
"326","BMS-265246","CDK inhibitor","CDK1, CDK2"
"327","BMS-387032","CDK inhibitor","CDK2, CDK7, CDK9"
"328","CR8-(R)","CDK inhibitor","CCNA2"
"329","JNJ-7706621","CDK inhibitor","AURKA, AURKB, CDK1, CDK2"
"330","NU6027","CDK inhibitor","CCNA2, CDK2"
"331","P276-00","CDK inhibitor","CDK1, CDK4, CDK9"
"332","PHA-793887","CDK inhibitor","CDK1, CDK2, CDK4, CDK5, CDK7, CDK9"
"333","PHA-848125","CDK inhibitor","CDK2, CDK4, CDK7, NTRK1"
"334","R547","CDK inhibitor","CDK1, CDK2, CDK4, CDK7"
"335","TG-02","CDK inhibitor","CDK1, CDK2, CDK7, CDK9, FLT3, JAK2"
"336","abemaciclib","CDK inhibitor","CDK4, CDK6"
"337","alvocidib","CDK inhibitor","CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM"
"338","aminopurvalanol-a","CDK inhibitor","CDK1, CDK2, CDK5, CDK6"
"339","arcyriaflavin-a","CDK inhibitor","CCND1, CDK4"
"340","dinaciclib","CDK inhibitor","CDK1, CDK2, CDK5, CDK9"
"341","indirubin","CDK inhibitor","CDK1, CDK5, GSK3A"
"342","indisulam","CDK inhibitor","CA1, CA12, CA14, CA2, CA6, CA7, CA9"
"343","kenpaullone","CDK inhibitor","CCNB1, CDK1, CDK5, GSK3B"
"344","palbociclib","CDK inhibitor","CDK4, CDK6"
"345","ribociclib","CDK inhibitor","CDK4, CDK6"
"346","tezacaftor","CFTR channel agonist",NA
"347","IOWH032","CFTR channel antagonist","CFTR"
"348","birinapant","CIAP1/cIAP2 inhibitor","BIRC2, XIAP"
"349","AM-404","COX pathway inhibitor","CNR1, CNR2, FAAH, TRPV1"
"350","FK-3311","COX pathway inhibitor","PTGS2"
"351","FR-122047","COX pathway inhibitor",NA
"352","acetylsalicylsalicylic-acid","COX pathway inhibitor",NA
"353","amfenac","COX pathway inhibitor","PTGS1, PTGS2"
"354","aspirin","COX pathway inhibitor","AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53"
"355","benzydamine","COX pathway inhibitor",NA
